"","INDEX","TARGET"
"1","3",1.78930366498747
"2","9",3.95540801378468
"3","10",3.28204405312407
"4","18",2.87258910011501
"5","21",0.846949714100822
"6","30",4.88146891517766
"7","31",2.48311638073187
"8","37",1.69106137255083
"9","39",0.246652976510451
"10","47",1.78336301416703
"11","60",3.55381472043001
"12","62",0.136671786743719
"13","63",3.66410334769017
"14","64",1.55025616310325
"15","68",1.10518784553692
"16","75",2.52433162255366
"17","76",2.83797618198015
"18","83",0.0637437224375665
"19","87",3.69501052671848
"20","92",4.829976230641
"21","98",2.20899826039053
"22","106",1.63921308231133
"23","107",0.886505328942889
"24","113",2.82325153515412
"25","120",3.50388539520933
"26","123",6.50463956666804
"27","125",2.67448563598418
"28","126",4.99254958023288
"29","128",3.63016910064647
"30","129",2.73562417155334
"31","131",3.70202340050207
"32","135",1.36676577352567
"33","141",3.81277083726168
"34","147",3.87870559011601
"35","148",1.12982363979054
"36","151",3.79530564950921
"37","156",4.60766500377013
"38","157",2.72223387408602
"39","174",1.8890014055329
"40","186",0.46652286585499
"41","193",2.95532863828056
"42","195",1.13246824713373
"43","212",0.611256837497445
"44","213",0.821762577544469
"45","217",3.99315352515122
"46","223",3.9176516089537
"47","226",3.82374131112793
"48","228",4.78638328688696
"49","230",3.23770701957032
"50","241",3.37723328972693
"51","243",3.71088938305407
"52","249",1.37568758169091
"53","281",3.41494356820736
"54","288",0.226826169127111
"55","294",2.02052747676709
"56","295",2.13797246907098
"57","300",6.02646484543023
"58","302",4.39918131972476
"59","303",1.63514287880403
"60","308",1.735676141217
"61","319",4.98702638705953
"62","320",0.985365654828328
"63","324",3.67910616651362
"64","331",3.00771957945828
"65","343",3.61484154466439
"66","347",2.56997557933183
"67","348",3.71578379414008
"68","350",4.95061058753643
"69","357",1.23565481141767
"70","358",3.59405432788078
"71","360",3.8047136276667
"72","366",4.80632625839961
"73","367",2.99113617457193
"74","368",4.44497066339544
"75","376",2.53921209807628
"76","380",3.72506108425737
"77","388",0.467500867326173
"78","396",4.59543408464326
"79","398",3.7169122433104
"80","403",3.3979781508979
"81","410",2.74182592052468
"82","412",1.34337377736143
"83","420",2.7669062072081
"84","434",2.64037754994496
"85","440",3.59413339669206
"86","450",3.47527999681823
"87","453",3.41060886153796
"88","464",3.76901421872565
"89","465",4.50244811642326
"90","466",3.73397968167984
"91","473",2.8029893065039
"92","476",1.6330327435206
"93","478",1.77639456766686
"94","479",2.99319614599924
"95","493",2.99801440359857
"96","497",2.5578452093824
"97","503",3.58138092393309
"98","504",3.39971799870567
"99","505",2.04318169218753
"100","507",0.287836544247514
"101","513",3.60519017203143
"102","519",2.80111686178652
"103","521",3.67919268688323
"104","522",3.54614578938457
"105","545",3.5350357859275
"106","549",2.45389463254032
"107","551",1.32559588811556
"108","556",6.36680416098055
"109","557",5.11402539482016
"110","559",1.63086773983495
"111","560",2.89222259094073
"112","566",3.53227318989946
"113","569",4.50890483317335
"114","573",2.96131377054781
"115","578",0.88601206327425
"116","579",5.24172675075371
"117","582",4.33129693269728
"118","596",3.51528019683898
"119","598",2.57901261841069
"120","599",1.09655662899133
"121","602",3.56785515148782
"122","605",1.59330103570565
"123","617",3.01155770574383
"124","619",4.38364181546947
"125","630",4.36639612860346
"126","634",3.45632438611286
"127","643",2.740014944102
"128","645",0.557049931737963
"129","647",4.21859825532914
"130","649",4.49240876084254
"131","656",3.58700786543791
"132","657",4.12959886199501
"133","658",3.71073394451274
"134","667",2.77872852406514
"135","692",3.92115810816572
"136","693",3.63689975124815
"137","698",0.137376626139669
"138","699",3.56551943084569
"139","700",5.62055006343797
"140","704",2.96037977408466
"141","707",4.41531881440062
"142","708",4.69344364170525
"143","709",3.81774518662325
"144","713",0.636628037642664
"145","714",2.63211542126015
"146","716",2.74749741020515
"147","718",3.70670659153592
"148","722",3.52998195072342
"149","729",6.06166799864942
"150","731",3.33096346519489
"151","733",3.38319804220777
"152","746",3.96369202493531
"153","747",3.40435063872699
"154","748",1.11028013500635
"155","753",1.15182959746006
"156","757",1.20929032944
"157","763",2.96865308225684
"158","767",5.29324649749849
"159","774",3.65241723639547
"160","776",0.962157768925611
"161","788",0.580150576050568
"162","794",3.56918232315168
"163","799",2.02611384918084
"164","803",3.65406025670104
"165","806",3.49083580970579
"166","807",3.5085335110828
"167","811",3.61552133677665
"168","816",5.46037402358436
"169","818",3.34411400160067
"170","819",1.40660326752195
"171","831",4.65633274303782
"172","835",4.4548103678794
"173","837",1.5729721273568
"174","841",1.52250951901452
"175","846",1.36948971941968
"176","856",4.68709680775258
"177","861",4.35071350852463
"178","862",1.46785468170915
"179","863",2.57389509560157
"180","865",3.60340643322041
"181","871",2.86435763983563
"182","879",1.27104573920959
"183","880",3.00173648220346
"184","881",3.29011671879852
"185","885",3.50113626950144
"186","887",3.34082325380694
"187","892",1.20199808143434
"188","898",3.78483518749762
"189","900",1.31515712589337
"190","904",1.52326678553451
"191","906",4.35163543552729
"192","910",3.82733212651094
"193","912",3.09693638073984
"194","913",2.48451764297488
"195","919",3.62886469302444
"196","924",1.46544311487877
"197","925",3.77601455278288
"198","930",2.64428520118965
"199","940",2.19887583848343
"200","941",4.81542652286102
"201","946",0.341287760513784
"202","949",4.64027718516205
"203","951",1.59482142051263
"204","962",3.89148492921275
"205","966",3.04858434869407
"206","967",3.70243762037024
"207","971",1.08350766924209
"208","981",2.55909853921644
"209","982",2.72231321958861
"210","983",0.679261374981005
"211","984",2.25640379375025
"212","989",1.92063323257834
"213","990",4.85697091047922
"214","992",3.52761361175887
"215","995",5.14205625082619
